t [s];E
1;-175.3
2;-175.3
3;-175.3
4;-175.4
5;-175.4
6;-175.4
7;-175.5
8;-175.5
9;-175.5
10;-175.6
11;-175.6
12;-175.6
13;-175.6
14;-175.7
15;-175.7
16;-175.7
17;-175.7
18;-175.7
19;-175.8
20;-175.8
21;-175.8
22;-175.8
23;-175.9
24;-175.9
25;-175.9
26;-175.9
27;-175.9
28;-175.9
29;-176
30;-176
