t [s];E
1;169.6
2;169.6
3;169.6
4;169.6
5;169.7
6;169.7
7;169.7
8;169.7
9;169.7
10;169.7
11;169.7
12;169.7
13;169.7
14;169.7
15;169.7
16;169.7
17;169.7
18;169.7
19;169.7
20;169.7
21;169.7
22;169.7
23;169.7
24;169.7
25;169.7
26;169.7
27;169.7
28;169.7
29;169.7
30;169.7
